Name Latitude(WGS84) Longitude(WGS84) Elevation(m) NoiseLevel(m/s^2)
PKM	34.89556	-119.82084	507	1.00E-07
PLE	34.96857	-119.06899	910	1.00E-07
PLM	33.35361	-116.86265	178	1.00E-07
PLS	33.79530	-117.60906	204	1.00E-07
PLT	32.73123	-114.73012	208	1.00E-07
POBZ	33.68700	-116.92399	791	1.00E-07
IOB	33.68699	-116.92402	603	1.00E-07
PSP	33.79371	-116.54968	281	1.00E-07
PTD	34.00443	-118.80686	829	1.00E-07
PVPZ	33.78939	-118.40199	962	1.00E-07
PVR	33.75237	-118.37171	140	1.00E-07
PYR	34.56784	-118.7419	852	1.00E-07
QAL	34.74909	-118.71518	574	1.00E-07
RAY	34.03749	-116.81306	134	1.00E-07
RCP	33.77731	-118.13343	449	1.00E-07
RCP	33.77730	-118.13345	591	1.00E-07
RMM	34.64384	-116.62438	888	1.00E-07
RMR	34.21283	-116.57630	1663	1.00E-07
RUN	32.97222	-114.97809	116	1.00E-07
RVR	33.99351	-117.37545	232	1.00E-07
RYS	34.64341	-119.35224	1807	1.00E-07
SAD	34.08087	-118.66554	715	1.00E-07
SAT	33.70796	-117.89143	-420	1.00E-07
SBB	34.68817	-117.82501	796	1.00E-07
SBC	34.44076	-119.71492	61	1.00E-07
SBK	35.07914	-117.58287	851	1.00E-07
SBP	34.23236	-117.23488	1843	1.00E-07
SC1	34.01916	-118.28598	17	1.00E-07
SCC	34.94094	-120.17297	565	1.00E-07
SCD	34.36841	-119.34467	183	1.00E-07
SC1	32.97919	-118.54698	178	1.00E-07
SCY	34.10647	-118.45533	250	1.00E-07
SDL	35.37652	-117.88838	638	1.00E-07
SDW	34.60953	-117.07593	1125	1.00E-07
SGL	32.64933	-115.72638	75	1.00E-07
S1L	34.34802	-116.82746	1698	1.00E-07
S1M	35.35017	-119.99653	578	1.00E-07
S1P	34.20453	-118.78073	694	1.00E-07
SKY	33.77575	-117.10712	774	1.00E-07
SLC	34.49593	-119.71435	1164	1.00E-07
SLG	34.10946	-119.06496	381	1.00E-07
SLP	34.55353	-120.39819	113	1.00E-07
SLT	33.26488	-115.92420	-83	1.00E-07
SME	33.82288	-117.35623	466	1.00E-07
SMO	33.53561	-116.46239	2403	1.00E-07
SND	35.14264	-118.30286	1294	1.00E-07
SNR	32.86184	-115.43602	-63	1.00E-07
SNS	33.43239	-117.55047	117	1.00E-07
SRT	35.69235	-117.75051	667	1.00E-07
SS2	34.20734	-117.50039	1574	1.00E-07
SSC	33.99546	-119.63513	413	1.00E-07
SSN	33.24494	-119.50737	217	1.00E-07
STO	34.69199	-117.11727	145	1.00E-07
STT	34.78904	-118.46361	796	1.00E-07
SUN	34.21048	-117.69394	1652	1.00E-07
SUP	32.95537	-115.82547	177	1.00E-07
SWM	34.71605	-118.58362	1184	1.00E-07
SYP	34.52780	-119.97834	1253	1.00E-07
SYS	32.57936	-116.91486	181	1.00E-07
TAB	34.38245	-117.68191	2250	1.00E-07
TCC	33.99465	-118.01397	195	1.00E-07
TEJ	35.23107	-118.68878	844	1.00E-07
THC	34.90853	-118.66443	1688	1.00E-07
TIN	37.05422	-118.23009	1164	1.00E-07
TJR	35.02722	-118.74373	398	1.00E-07
TMB	35.08693	-119.53548	988	1.00E-07
TOW	35.80885	-117.76493	653	1.00E-07
TPC	34.10564	-116.04939	686	1.00E-07
TPO	34.87883	-118.22864	769	1.00E-07
TPR	34.09285	-118.58780	335	1.00E-07
TWL	34.27827	-118.59548	352	1.00E-07
UPL	34.14817	-117.69940	516	1.00E-07
VET	34.29678	-118.02833	1757	1.00E-07
VG2	33.83254	-116.81041	1465	1.00E-07
VPD	33.81596	-117.76338	147	1.00E-07
VST	33.15585	-117.23200	76	1.00E-07
WAS	35.73770	-118.55743	1828	1.00E-07
WBM	35.60839	-117.89049	892	1.00E-07
WBS	35.53671	-118.14035	1902	1.00E-07
WCH	35.87887	-118.07405	2461	1.00E-07
WCS	36.02702	-117.76761	1135	1.00E-07
WCX	35.71155	-117.59448	654	1.00E-07
WHF	35.69513	-118.35183	859	1.00E-07
WHS	36.10508	-117.76177	1411	1.00E-07
WHV	35.50989	-118.51904	971	1.00E-07
WI2	33.27614	-115.58154	-97	1.00E-07
WLS	33.27586	-115.59540	-102	1.00E-07
WJP	35.41094	-118.48196	1090	1.00E-07
WLH	36.15243	-118.31312	2645	1.00E-07
WLK	33.05135	-115.49193	-82	1.00E-07
WMF	36.11774	-117.85484	1513	1.00E-07
WNM	35.84220	-117.90616	923	1.00E-07
WOF	35.53545	-118.71352	1306	1.00E-07
WOR	35.69563	-118.24246	795	1.00E-07
WRC	35.94896	-117.64787	930	1.00E-07
WRV	36.00783	-117.89056	1039	1.00E-07
WSC	35.70429	-117.88751	853	1.00E-07
WSH	35.59962	-117.49265	764	1.00E-07
